,Ulasan,label
0,pesan sesuai yg d gambar,0
1,kirim respon super cepat tpi barang sesuai gambar tidak kuat tembus jok motor,0
2,barang yg kirim sesuai pesan,0
3,php bilang isi skripsi pas sen beda mubajir rp50 000 nyata isi ga cocok,0
4,barang jelek copot 34 terus tmpat taro isi,0
5,beli staples gak jual isi sekali pake ckckck,0
6,baik kalau mau ngirim barang periksa dulu gan kondisi barang layak apa gak gitu loh isi karat semua,0
7,produk sesuai order prohex yg kirim,0
8,barang sdh terima,0
9,bisa buat masang jok gak pake,0
10,barang datang cacat gak guna harus sblum kirim di coba dulu,0
11,kecewa baru dipakey isiya kluar 2 3 buah papan nempel,0
12,barang kurang bagus kirim pakai pos lama sekali,0
13,hasil staples rapat bidang mungkin produk cacat hadeeuh,0
14,barang standart n biasa aja kurang bagus ,0
15,barang rusak kecewa berat,0
16,beli 5 bs pakai semua,0
17,straples nya gk bs dipake udh coba berkali2 bwt pasang jaring nyamuk straples tembak bah triplek aja gk nembus udh harus diketok2 palu lgi ,0
18,mungkin harga juga jadi susah dipake hehe staples gak nancep sampe oenuh,0
19,gagal,0
20,ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,0
21,seller komunikatif niat pake instant courier biar segera sampai tp barang kirim 2 hari kemudian kabar sama sekali tanya ga berani balas udah ngajuin batal tetep aja kirim dosa moga ga lagi yg buyer dapet laku kyk gin,0
22,barang nya kayak bekas gan tapi kirim ceoat,0
23,barang yg gak sesuai sama buset lama banget kirim kapok,0
24,model brang sdh sesuai deskripsi kenapa ukur 44nya ndak sesuai ya ukur panjang sesuai ukur tinggi spatunya kyk ukur kaki no 40 aku kasih foto sepatu yg tak coba aku pakai,0
25,rekomen  kaki bisa masuk sepatu sablon kualitas not,0
26,sepatu di retur kualitas bahan kanan kiri beda tebelnya beda tinggi nya beda,0
27,brng sy pesan uang sy transfr tp brmg sy trima jgn pesan pke wahana cargo ad solusi dr toped ut mngembalikan uang,0
28,sesuai minta warna pas tanya ngaku2nya udh chat ga jawab pdhl ga chat ,0
29,suckkkk,0
30,produk bagus qc kurang pipa nya beda ukur 1batang jadi 2 rak yg pasang,0
31,sangat kecewa karna acc nya lengkap,0
32,kurang sesuai expektasi dapat cacat konektor milik panjang tiang tidak imbang,0
33,1 bagi yg ada,0
34,minta dibatalin udah ajuin batal malah kirim udah konfirmasi ukur model salah ,0
35,kotak rusak lem sepatu gk bngt,0
36,sesuai yang kasi liat,0
37,respon lambat kirim lama barang di kirim sesuai  kecewa,0
38,bisa klem gak nih kualitas barang sangat buruk lem gak nempel ngelupas jujur sangat kecewa,0
39,kirim lama proses lamaaaa,0
40,lebih teliti lg gan kalau ngasih informasi,0
41,order tanggal 19 pake jne yes baru sampe tanggal 25 entah salah,0
42,barang nya jelek bgt  mau kasih org malu  mungkin foto lebih bagus produk asli nya saya beli,0
43,sesuai gambar gambar comot google,0
44,awal lupa tulis ukur jual ga nanya akhir ukur yg kirim ukur 40 minta retur 42  jual cuman bilang iya doang ga action udah bulan ga proses parah tokpedia malah lanjut dana jual padahal ikut proses komplian sesuai tunjuk tokped benar 39 39 harga customer,0
45,sen warna a yg d kirim warna b nga ssuai klw dlam sen abis gtu ukuranya kcill,0
